Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-08-06T13:22:11.337 ,4,0.0012491466481129529,0.7869858307274755,FoVF,-0.5754797542654977,0.726264027800825,2457607.060615071
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2016-09-10T05:07:32.715 ,1,0.003366266797097636,-0.6110211734019513,FoVP,0.7066515579113928,0.7202400968939723,2457641.713757034
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-01-24T07:55:32.846 ,3,0.0027230924568279573,-2.5183191457894365,FoVF,-0.4067397883164407,0.6980657902147164,2457777.8279082994
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-01-24T12:09:12.802 ,7,-0.0067162555242762136,-2.5275411975230853,FoVP,-0.40091359780555696,0.7035076362640094,2457778.004079704
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-02-12T07:33:31.485 ,7,-0.005415549938718482,2.5317186835118624,FoVP,0.6441554857490612,0.7050195648412795,2457796.8143339455
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-02-12T09:20:05.670 ,5,-4.696136160104721E-4,2.529283345238766,FoVF,0.646197578064479,0.7036503069341119,2457796.8883479075
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-03-14T20:55:59.032 ,1,0.005934141280416733,-2.2167173537119123,FoVF,-0.6610763308716233,0.7103041587000699,2457827.3746551885
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-03-15T01:09:39.054 ,7,-0.006343110088181512,-2.212652772880289,FoVP,-0.6632769519470999,0.7072587803565238,2457827.550830129
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-07-30T13:57:04.561 ,1,0.0034863585200290265,-0.47214637319741154,FoVP,0.47230595769330724,0.7257618881809917,2457965.085473498
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-08-22T13:56:30.934 ,5,-0.0035268157881022224,0.9094941145610502,FoVP,-0.6991127930316258,0.7215408675414842,2457988.082971325
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-09-20T19:39:34.327 ,5,-0.0026850996373406506,-0.5512250091787044,FoVP,0.6436534801569823,0.7176633986263058,2458017.318331381
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2017-09-20T21:26:08.535 ,3,0.0023080177897380934,-0.5530861259506152,FoVF,0.6447881865965228,0.7160827460079309,2458017.3923314298
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-02-02T16:24:33.608 ,2,0.004319803768186183,-2.359409720199533,FoVF,-0.5533719632318234,0.7007922845002214,2458152.182177205
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-02-02T20:38:13.596 ,7,-0.0069900612454473566,-2.3661497652730508,FoVP,-0.5492724597767712,0.7057757603887915,2458152.35835048
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-02-27T02:29:58.438 ,3,-6.34627315926436E-6,2.508657043987866,FoVP,0.7066907507100552,0.7072950345298663,2458176.6049865377
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-02-27T04:16:32.648 ,1,0.005471051190288525,2.5085392071813106,FoVF,0.7068971300303275,0.7071739683345287,2458176.679001106
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-03-25T08:18:59.424 ,4,-0.001540481333468853,-2.2693024665680928,FoVP,-0.5766134218329422,0.711664125103298,2458202.849941488
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-08-09T21:05:49.549 ,2,0.0031506927805969235,-0.5744364100612214,FoVP,0.6034163150307429,0.7224274507978545,2458340.3823331045
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-09-06T20:53:29.438 ,5,-0.0035854359214521365,0.9424675141823657,FoVP,-0.7136193822944666,0.7178922616077655,2458368.371044385
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-10-01T02:48:03.956 ,4,-4.926886778888694E-4,-0.44808976785975635,FoVP,0.5352070811074771,0.7122936672229995,2458392.614978721
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2018-10-01T04:34:38.184 ,2,0.00400261649133171,-0.4510070795419346,FoVF,0.537006977586493,0.7101662368733599,2458392.6889795023
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2019-02-12T17:32:59.269 ,3,0.0031575907934548596,-2.2664881106524355,FoVF,-0.6505627733055037,0.7057155031640796,2458527.230627829
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2019-03-13T21:26:32.457 ,4,-0.0014322100721464634,2.5547404184513827,FoVP,0.6758783031569554,0.7112945231184759,2458556.395740011
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2019-03-13T23:13:06.659 ,3,0.003580887065834709,2.55684760135306,FoVF,0.6742733296200496,0.7124463110719222,2458556.469754279
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2019-04-04T03:27:04.854 ,2,0.0024728475767196514,-2.3860965256950695,FoVP,-0.43707555124623954,0.7178701894691444,2458577.6480750786
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2019-04-04T05:13:39.056 ,5,-0.001387964485879242,-2.3823600655159067,FoVF,-0.4392839190948936,0.7157022613629868,2458577.722088248
